Date,Open,High,Low,Close,Adj Close,Volume
2017-05-15,150.169998,151.479996,144.419998,148.059998,148.059998,97135100
2017-05-22,148.080002,152.589996,147.250000,152.130005,152.130005,78154500
2017-05-29,151.970001,153.630005,150.300003,153.610001,153.610001,62634900
2017-06-05,153.639999,155.589996,146.610001,149.600006,149.600006,91421300
2017-06-12,148.169998,152.399994,144.559998,150.639999,150.639999,116339000
2017-06-19,151.710007,155.199997,151.710007,155.070007,155.070007,79842700
2017-06-26,156.250000,156.500000,148.919998,150.979996,150.979996,95769100
2017-07-03,151.720001,152.149994,147.800003,151.440002,151.440002,56764700
2017-07-10,151.690002,160.320007,151.509995,159.970001,159.970001,80086200
2017-07-17,160.250000,165.699997,158.809998,164.429993,164.429993,96122400
2017-07-24,164.639999,175.490005,163.860001,172.449997,172.449997,161455400
2017-07-31,172.000000,172.720001,166.910004,169.619995,169.619995,78869200
2017-08-07,169.949997,173.050003,166.850006,168.080002,168.080002,72620200
2017-08-14,170.089996,171.500000,166.210007,167.410004,167.410004,69772900
2017-08-21,167.160004,169.869995,165.820007,166.320007,166.320007,59799900
2017-08-28,166.910004,172.919998,165.000000,172.020004,172.020004,59717100
2017-09-04,171.270004,173.490005,169.550003,170.949997,170.949997,56165200
2017-09-11,172.399994,174.000000,170.259995,171.639999,171.639999,63953800
2017-09-18,171.990005,173.050003,169.220001,170.539993,170.539993,61645200
2017-09-25,169.240005,171.660004,161.559998,170.869995,170.869995,111376500
2017-10-02,171.389999,172.369995,168.289993,172.229996,172.229996,61415600
2017-10-09,172.699997,174.880005,170.800003,173.740005,173.740005,61204500
2017-10-16,174.490005,176.740005,172.630005,174.979996,174.979996,66891900
2017-10-23,175.199997,178.210007,168.889999,177.880005,177.880005,84107200
2017-10-30,179.259995,182.899994,176.710007,178.919998,178.919998,138797700
2017-11-06,178.559998,180.750000,177.089996,178.460007,178.460007,60415500
2017-11-13,177.500000,179.979996,176.399994,179.000000,179.000000,57988600
2017-11-20,178.869995,183.149994,178.100006,182.779999,182.779999,44359000
2017-11-27,182.559998,184.250000,172.339996,175.100006,175.100006,114147800
2017-12-04,176.289993,182.279999,169.009995,179.000000,179.000000,105188400
2017-12-11,179.300003,180.490005,176.600006,180.179993,180.179993,86692500
2017-12-18,181.009995,181.300003,176.229996,177.199997,177.199997,64156700
2017-12-25,176.630005,178.940002,174.669998,176.460007,176.460007,40875700
2018-01-01,177.679993,186.899994,177.550003,186.850006,186.850006,62493900
2018-01-08,187.199997,188.899994,177.399994,179.369995,179.369995,128057600
2018-01-15,181.500000,182.369995,175.800003,181.289993,181.289993,114307600
2018-01-22,180.800003,190.660004,180.410004,190.000000,190.000000,106209700
2018-01-29,188.750000,195.320007,181.839996,190.279999,190.279999,165475700
2018-02-05,186.929993,190.610001,167.179993,176.110001,176.110001,176854500
2018-02-12,177.059998,180.500000,171.839996,177.360001,177.360001,124398600
2018-02-19,175.770004,183.389999,175.110001,183.289993,183.289993,81877200
2018-02-26,184.580002,185.660004,172.990005,176.619995,176.619995,95460000
2018-03-05,176.199997,185.509995,175.889999,185.229996,185.229996,86125600
2018-03-12,185.229996,186.100006,181.110001,185.089996,185.089996,90208100
2018-03-19,177.009995,177.169998,159.020004,159.389999,159.389999,451943400
2018-03-26,160.820007,162.850006,149.020004,159.789993,159.789993,324697100
2018-04-02,157.809998,161.570007,150.509995,157.199997,157.199997,212319900
2018-04-09,157.820007,168.649994,156.039993,164.520004,164.520004,207202700
2018-04-16,165.720001,169.000000,163.389999,166.279999,166.279999,103186400
2018-04-23,167.270004,177.100006,156.190002,173.589996,173.589996,206613200
2018-04-30,173.789993,178.080002,170.229996,176.610001,176.610001,118904800
2018-05-07,177.350006,188.320007,177.110001,186.990005,186.990005,99836400
2018-05-14,187.710007,187.860001,182.220001,182.679993,182.679993,76022800
2018-05-21,183.770004,186.910004,182.179993,184.919998,184.919998,66212200
2018-05-28,184.339996,194.550003,183.710007,193.990005,193.990005,78225600
2018-06-04,191.839996,195.000000,186.429993,189.100006,189.100006,91223300
2018-06-11,188.809998,197.279999,188.800003,195.850006,195.850006,81327200
2018-06-18,194.800003,203.550003,193.789993,201.740005,201.740005,101516800
2018-06-25,200.000000,200.750000,193.110001,194.320007,194.320007,95891100
2018-07-02,193.369995,203.639999,192.220001,203.229996,203.229996,66875400
2018-07-09,204.929993,208.429993,201.750000,207.320007,207.320007,71208400
2018-07-16,207.500000,211.500000,204.839996,209.940002,209.940002,69277300
2018-07-23,210.580002,218.619995,173.000000,174.889999,174.889999,334032300
2018-07-30,175.300003,178.850006,166.559998,177.779999,177.779999,196842800
2018-08-06,178.970001,188.300003,178.380005,180.259995,180.259995,146552500
2018-08-13,180.100006,182.610001,172.039993,173.800003,173.800003,125790500
2018-08-20,174.039993,175.550003,170.910004,174.649994,174.649994,90675800
2018-08-27,175.990005,179.789993,174.750000,175.729996,175.729996,94608400
2018-09-03,173.500000,173.889999,160.000000,163.039993,163.039993,126851100
2018-09-10,163.509995,167.190002,160.339996,162.320007,162.320007,111957100
2018-09-17,161.919998,167.250000,158.869995,162.929993,162.929993,128030300
2018-09-24,161.029999,171.770004,160.880005,164.460007,164.460007,133630300
2018-10-01,163.029999,165.880005,156.199997,157.330002,157.330002,137031800
2018-10-08,155.539993,160.589996,149.160004,153.740005,153.740005,134132800
2018-10-15,153.320007,160.490005,152.550003,154.050003,154.050003,93642000
2018-10-22,154.759995,157.339996,143.800003,145.369995,145.369995,115673300
2018-10-29,148.500000,156.399994,139.029999,150.350006,150.350006,192315900
2018-11-05,150.100006,153.009995,144.070007,144.960007,144.960007,95988400
2018-11-12,144.479996,145.580002,137.770004,139.529999,139.529999,123323100
2018-11-19,137.610001,137.750000,126.849998,131.729996,131.729996,123658000
2018-11-26,133.000000,140.970001,131.850006,140.610001,140.610001,124832700
2018-12-03,143.000000,143.679993,133.669998,137.419998,137.419998,104540200
2018-12-10,139.600006,147.190002,139.009995,144.059998,144.059998,110353800
2018-12-17,143.080002,145.929993,123.419998,124.949997,124.949997,203647400
2018-12-24,123.099998,135.919998,123.019997,133.199997,133.199997,115619500
2018-12-31,134.449997,138.000000,128.559998,137.949997,137.949997,104491500
2019-01-07,137.559998,145.360001,135.910004,143.800003,143.800003,97592000
2019-01-14,142.000000,152.429993,141.270004,150.039993,150.039993,109432500
2019-01-21,149.199997,151.529999,142.520004,149.009995,149.009995,85669800
2019-01-28,148.050003,171.679993,143.429993,165.710007,165.710007,185793900
2019-02-04,165.699997,172.470001,163.619995,167.330002,167.330002,85953200
2019-02-11,167.899994,168.339996,160.860001,162.500000,162.500000,71568200
2019-02-18,160.500000,164.149994,159.589996,161.889999,161.889999,57582400
2019-02-25,163.070007,166.240005,160.410004,162.279999,162.279999,67430700
2019-03-04,163.899994,173.570007,163.830002,169.600006,169.600006,100105600
2019-03-11,171.600006,174.300003,162.509995,165.979996,165.979996,98185400
2019-03-18,163.570007,167.419998,159.279999,164.339996,164.339996,115959400
2019-03-25,163.000000,169.449997,162.000000,166.690002,166.690002,62834100
2019-04-01,167.830002,178.000000,167.279999,175.720001,175.720001,89359900
2019-04-08,175.210007,179.630005,174.229996,179.100006,179.100006,59150700
2019-04-15,178.500000,180.740005,176.869995,178.279999,178.279999,43679300
2019-04-22,178.250000,198.479996,178.250000,191.490005,191.490005,146858400
2019-04-29,190.949997,197.389999,189.750000,195.470001,195.470001,86917500
2019-05-06,191.240005,194.279999,184.589996,188.339996,188.339996,68299100
2019-05-13,183.500000,188.580002,178.100006,185.300003,185.300003,74646800
2019-05-20,181.880005,186.740005,179.669998,181.059998,181.059998,48645100
2019-05-27,181.539993,184.710007,177.160004,177.470001,177.470001,51449000
2019-06-03,175.000000,175.050003,160.839996,173.350006,173.350006,151225900
2019-06-10,174.750000,181.839996,172.880005,181.330002,181.330002,76743300
2019-06-17,185.009995,194.529999,184.410004,191.139999,191.139999,125835300
2019-06-24,192.419998,198.880005,187.309998,193.000000,193.000000,72605800
2019-07-01,195.210007,197.399994,191.929993,196.399994,196.399994,44664900
2019-07-08,195.190002,205.300003,193.639999,204.869995,204.869995,74039000
2019-07-15,204.250000,205.470001,198.070007,198.360001,198.360001,64301600
2019-07-22,199.910004,208.660004,196.250000,199.750000,199.750000,125029100
2019-07-29,199.000000,199.630005,188.070007,189.020004,189.020004,76101900
2019-08-05,184.690002,190.979996,179.339996,187.850006,187.850006,82843300
2019-08-12,186.850006,191.380005,179.309998,183.699997,183.699997,68997500
2019-08-19,186.009995,187.500000,176.660004,177.750000,177.750000,56317600
2019-08-26,179.399994,186.800003,178.240005,185.669998,185.669998,53462500
2019-09-02,184.000000,191.360001,182.110001,187.490005,187.490005,50190900
2019-09-09,187.729996,190.929993,184.550003,187.190002,187.190002,64800900
2019-09-16,186.929993,193.100006,185.539993,189.929993,189.929993,58124700
2019-09-23,189.339996,190.100006,175.660004,177.100006,177.100006,80682000
2019-09-30,177.869995,180.979996,173.089996,180.449997,180.449997,70481200
2019-10-07,180.000000,186.490005,177.720001,184.190002,184.190002,49737600
2019-10-14,184.199997,191.490005,182.570007,185.850006,185.850006,59039200
2019-10-21,187.039993,190.649994,181.500000,187.889999,187.889999,59435300
2019-10-28,187.199997,198.089996,185.080002,193.619995,193.619995,119965700
2019-11-04,194.550003,197.369995,189.470001,190.839996,190.839996,61520100
2019-11-11,189.929993,195.699997,188.539993,195.100006,195.100006,57672200
2019-11-18,194.559998,200.000000,193.050003,198.820007,198.820007,69670200
2019-11-25,199.520004,203.800003,198.039993,201.639999,201.639999,47729600
2019-12-02,202.130005,202.179993,195.080002,201.050003,201.050003,53566000
2019-12-09,200.649994,203.660004,193.169998,194.110001,194.110001,72000100
2019-12-16,195.270004,207.710007,194.809998,206.300003,206.300003,92183100
2019-12-23,206.699997,208.929993,205.000000,208.100006,208.100006,39030100
2019-12-30,207.860001,210.399994,203.600006,208.669998,208.669998,42743300
2020-01-06,206.699997,219.880005,206.520004,218.059998,218.059998,70208500
2020-01-13,219.600006,222.630005,218.630005,222.139999,222.139999,63710000
